Brand,Year,Model,Car/Suv,Transmission,FuelType,CylindersinEngine,BodyType,Doors,Seats,Price,State
Ssangyong,2022,Rexton,Sutherland Isuzu Ute,Automatic,Diesel,4,SUV,4,7,51990,New South Wales
MG,2022,MG3,Hatchback,Automatic,Premium,4,Hatchback,5,5,19990,New South Wales
BMW,2022,430I,Coupe,Automatic,Premium,4,Coupe,2,4,108988,New South Wales
Renault,2022,Arkana,SUV,Automatic,Unleaded,4,SUV,4,5,34990,New South Wales
Land,2017,Rover,SUV,Automatic,Diesel,4,SUV,2,4,62280,New South Wales
Toyota,2013,86,Coupe,Automatic,Premium,4,Coupe,2,4,24888,New South Wales
Honda,2014,Jazz,Hatchback,Automatic,Hybrid,4,Hatchback,5,5,17900,New South Wales
Toyota,2018,HiAce,Commercial,Automatic,Unleaded,4,Commercial,4,2,41999,New South Wales
Toyota,2016,HiAce,Commercial,Automatic,Diesel,4,Commercial,4,2,27995,New South Wales
BMW,2014,X3,SUV,Automatic,Diesel,4,SUV,4,5,24985,New South Wales
Ford,2014,Fiesta,Hatchback,Automatic,Unleaded,3,Hatchback,5,5,12400,New South Wales
Ford,2013,Fiesta,Hatchback,Automatic,Unleaded,4,Hatchback,5,5,11999,New South Wales
Volkswagen,2023,Amarok,Alto Volkswagen New Cars,Automatic,Diesel,6,Ute  ,4,5,83887,New South Wales
Honda,2018,Jazz,Hatchback,Automatic,Unleaded,4,Hatchback,5,5,19900,New South Wales
Mitsubishi,2018,Mirage,Hatchback,Automatic,Unleaded,3,Hatchback,5,5,14995,New South Wales
Ford,2015,Territory,SUV,Automatic,Diesel,6,SUV,4,7,16999,New South Wales
Nissan,2018,Qashqai,SUV,Automatic,Unleaded,4,SUV,4,5,21950,New South Wales
Volkswagen,2013,Golf,Hatchback,Manual,Premium,4,Hatchback,5,5,24880,New South Wales
Hyundai,2015,Tucson,SUV,Automatic,Unleaded,4,SUV,4,5,23888,New South Wales
Ford,2016,Focus,Hatchback,Automatic,Unleaded,4,Hatchback,5,5,16999,New South Wales
Nissan,2019,X-Trail,SUV,Automatic,Unleaded,4,SUV,4,7,24490,New South Wales
Toyota,2021,Corolla,Hatchback,Automatic,Hybrid,4,Hatchback,5,5,44878,New South Wales
Jeep,2015,Patriot,SUV,Automatic,Unleaded,4,SUV,4,5,13990,New South Wales
Volvo,2013,S60,Sedan,Automatic,Premium,4,Sedan,4,5,14999,New South Wales
Mitsubishi,2016,Triton,Ute / Tray,Automatic,Diesel,4,Ute  ,4,5,22750,New South Wales
Mercedes-Benz,2013,A250,Hatchback,Automatic,Premium,4,Hatchback,5,5,19999,New South Wales
Mazda,2022,CX-5,SUV,Automatic,Unleaded,4,SUV,4,5,37990,New South Wales
Ford,2013,Falcon,Sedan,Automatic,Unleaded,6,Sedan,4,5,16999,New South Wales
Abarth,2021,595,Hatchback,Manual,Premium,4,Hatchback,3,4,36990,New South Wales
Honda,2014,CR-V,SUV,Automatic,Unleaded,4,SUV,4,5,23880,New South Wales
